YearWeek,Prediction_ILI_lagwk4,Actual
201540,1.4247717699946698,1.48309
201541,1.525430772277026,1.54494
201542,1.5773697736884646,1.62532
201543,1.5440813245154699,1.91565
201544,1.517997577491714,1.74368
201545,1.7666258306995437,1.83277
201546,1.8830023491858143,1.9781
201547,1.8349373793985084,2.42502
201548,2.1244859375772465,2.42004
201549,2.1773856126439957,2.00413
201550,2.5387666111776266,2.00081
201551,2.598212405725606,2.1187
201552,2.1574101294779586,2.19506
201601,3.7195210721923586,2.31324
201602,3.1455464653208436,2.69449
201603,1.914730471255172,2.9892
201604,2.7973453817772556,3.11793
201605,2.5566990557535494,3.33016
201606,2.584490362910225,3.59519
201607,2.3048065354375145,3.10588
201608,2.3549633033774464,2.80228
201609,2.3026497664249312,2.54771
201610,2.466934125127712,2.13869
201611,2.371085089454095,2.06495
201612,3.2181504830439107,2.00242
201613,1.992274443021404,1.79787
201614,1.7284075231443108,1.62581
201615,1.5867698094033076,1.4888700000000001
201616,1.546871971869099,1.45832
201617,1.429662139807219,1.4425
201618,1.4888511875846613,1.38886
201619,1.2474299082403868,1.19484
201620,1.2093712025465324,1.13307
